location,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel
lat,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319
lon,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500
asl,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Diffuse Shortwave Radiation,FAO Reference Evapotranspiration,CAPE,Wind Speed,Wind Direction,Temperature
unit,°C,%,hPa,mm,%,%,%,%,min,W/m²,W/m²,mm,J/kg,km/h,°,°C
level,2 m elevation corrected,2 m,MSL,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc,sfc,sfc,2 m,180-0 mb above gnd,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Excel Temperature [2 m elevation corrected],Excel Relative Humidity [2 m],Excel Mean Sea Level Pressure [MSL],Excel Precipitation Total,Excel Cloud Cover Total,Excel Cloud Cover High [high cld lay],Excel Cloud Cover Medium [mid cld lay],Excel Cloud Cover Low [low cld lay],Excel Sunshine Duration,Excel Shortwave Radiation,Excel Diffuse Shortwave Radiation,Excel FAO Reference Evapotranspiration [2 m],Excel CAPE [180-0 mb above gnd],Excel Wind Speed [10 m],Excel Wind Direction [10 m],Excel Temperature
20200523T1200,12.648188,54.0,1013.3,0.0,100.0,1.0,0.0,100.0,0.0,427.19998,229.60095,0.24639237,16.0,17.101551,288.1527,19.7
20200523T1300,12.398188,54.0,1013.6,0.0,100.0,0.0,0.0,100.0,0.0,511.75,221.95078,0.27599853,19.0,16.766275,287.57126,16.07
20200523T1400,12.588188,52.0,1014.0,0.0,10.0,0.0,0.0,10.0,53.61702,355.11,280.9378,0.22615238,8.0,16.27658,291.10486,15.62
20200523T1500,12.788188,51.0,1013.3,0.0,12.0,0.0,0.0,12.0,52.340427,317.72998,267.13315,0.21546212,5.0,16.3223,296.14685,15.63
20200523T1600,14.028188,48.0,1013.2,0.0,77.0,0.0,0.0,77.0,10.851063,383.59,229.27522,0.2518926,8.0,16.039404,302.10626,20.21
20200523T1700,13.828188,48.0,1013.4,0.0,10.0,0.0,0.0,10.0,53.61702,414.74,134.71028,0.25589466,5.0,15.35213,308.65982,18.52
20200523T1800,13.528188,48.0,1013.7,0.0,10.0,0.0,0.0,10.0,53.61702,430.75998,0.0,0.24886346,3.0,14.505962,314.25595,17.03
20200523T1900,13.038188,50.0,1014.3,0.0,0.0,0.0,0.0,0.0,0.0,358.66998,0.0,0.19948387,0.0,12.079411,311.42368,15.08
20200523T2000,12.338188,53.0,1014.6,0.0,0.0,0.0,0.0,0.0,0.0,227.84,0.0,0.12722528,0.0,10.609277,308.88452,12.67
20200523T2100,10.0581875,64.0,1014.7,0.0,0.0,0.0,0.0,0.0,0.0,84.549995,0.0,0.03981897,0.0,6.791894,311.8202,7.92
20200523T2200,9.148188,70.0,1015.3,0.0,0.6,2.0,0.0,0.0,20.617554,2.67,0.0,0.0,0.0,5.842608,313.1524,5.31
20200523T2300,8.298187,74.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016394156,0.0,4.520958,315.0,4.23
20200524T0000,7.8381886,76.0,1016.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.207881,318.36646,3.21
20200524T0100,7.108188,80.0,1016.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.191377,296.56506,2.02
20200524T0200,6.808188,82.0,1017.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0983953,194.03624,1.25
20200524T0300,6.438188,84.0,1016.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1477854,187.12502,0.78
20200524T0400,5.918188,87.0,1016.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7812977,196.69925,0.34
20200524T0500,5.358188,90.0,1016.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9784427,206.56505,-0.12
20200524T0600,4.9881883,93.0,1017.5,0.0,0.0,0.0,0.0,0.0,43.366665,16.91,8.095656,0.0,0.0,3.2951863,194.03624,2.04
20200524T0700,6.938188,83.0,1017.9,0.0,0.0,0.0,0.0,0.0,60.0,134.39,61.537205,0.027258014,0.0,4.976763,195.52411,8.29
20200524T0800,10.218187,69.0,1017.1,0.0,0.0,0.0,0.0,0.0,60.0,283.02,121.79324,0.11435082,0.0,5.7384315,201.8014,13.04
20200524T0900,12.478188,60.0,1015.9,0.0,0.0,0.0,0.0,0.0,60.0,432.53998,174.35951,0.20753458,0.0,6.074855,217.87498,17.01
20200524T1000,14.068188,55.0,1015.5,0.0,0.0,0.0,0.0,0.0,60.0,571.38,216.02122,0.29706234,0.0,5.6637416,228.81409,20.19
20200524T1100,15.608188,49.0,1015.0,0.0,0.0,0.0,0.0,0.0,60.0,689.75,246.19138,0.3815398,0.0,5.0052013,244.79889,22.93
20200524T1200,16.878187,44.0,1014.8,0.0,0.0,0.0,0.0,0.0,60.0,779.64,265.9527,0.44960105,0.0,5.2339296,255.25644,24.76
20200524T1300,17.948187,40.0,1014.3,0.0,10.0,0.0,0.0,10.0,53.61702,830.37,275.45578,0.494059,18.0,5.4919763,255.96376,25.53
20200524T1400,18.658188,38.0,1014.1,0.0,10.0,0.0,0.0,10.0,53.61702,795.66,251.6253,0.48688927,21.0,5.433515,258.69006,26.23
20200524T1500,19.178188,36.0,1012.8,0.0,10.0,0.0,10.0,10.0,53.61702,769.85,248.62929,0.4775972,33.0,5.4919763,255.96376,26.31
20200524T1600,19.518188,34.0,1012.2,0.0,10.0,0.0,10.0,10.0,53.61702,707.55,240.30327,0.4432926,27.0,5.5625954,253.30075,25.81
20200524T1700,19.648188,34.0,1011.7,0.0,10.0,0.0,10.0,10.0,53.61702,613.20996,223.07094,0.3863847,28.0,5.7384315,248.1986,24.7
20200524T1800,19.548187,34.0,1011.7,0.0,10.0,0.0,10.0,10.0,53.61702,494.84,0.0,0.31341168,24.0,5.986595,249.14554,23.14
20200524T1900,19.118187,34.0,1012.1,0.0,7.0,0.0,7.0,7.0,0.0,359.56,0.0,0.23706286,12.0,7.401894,239.74356,20.85
20200524T2000,18.348188,38.0,1012.4,0.0,0.0,0.0,0.0,0.0,0.0,223.39,0.0,0.13930018,7.0,5.651197,225.0,18.24
20200524T2100,16.568188,41.0,1012.5,0.0,0.0,0.0,0.0,0.0,0.0,87.22,0.0,0.06403291,3.0,6.1503215,184.96974,12.16
20200524T2200,14.8081875,45.0,1013.1,0.0,0.0,0.0,0.0,0.0,22.066668,2.67,0.0,0.02629861,0.0,6.9315205,177.79741,9.48
20200524T2300,13.358188,50.0,1012.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03288633,0.0,7.1928,180.0,8.27
20200525T0000,11.678187,55.0,1013.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03070785,0.0,7.992,180.0,7.44
20200525T0100,9.938188,62.0,1013.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024729133,0.0,8.541434,183.57634,6.73
20200525T0200,8.578188,68.0,1014.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018259905,0.0,8.591142,187.12502,5.89
20200525T0300,7.4881883,73.0,1014.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012712548,0.0,8.411661,190.95407,4.93
20200525T0400,6.6981883,76.0,1014.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00855503,0.0,7.8395867,189.78241,4.02
